source_sentence	target_sentence
App for Costa Rica	Jaaɓɗe Kosta Rika
App for Croatia	Jaaɓngal Korowasiya
App for Croatia	Jaaɓɗe Korowasiya
App for Czech Republic	Jaaɓngal Ndenndaandi Cek
App for Czech Republic	Jaaɓɗe Ndenndaandi Cek
App for Ecuador	Jaaɓngal Ekuwador
App for Ecuador	Jaaɓɗe Ekuwador
App for El Salvador	Jaaɓngal El Salwador
App for El Salvador	Jaaɓɗe El Salwador
App for France	Jaaɓngal Farayse
App for France	Jaaɓɗe Farayse
App for Germany	Jaaɓngal Almaañ
App for Germany	Jaaɓɗe Almaañ
App for Greece	Jaaɓngal Gerees
App for Greece	Jaaɓɗe Gerees
App for Hungary	Jaaɓɗe Hunngari
App for Hungary	Jaɓngal Hunngari
App for India	Jaaɓngal Enndo
App for India	Jaaɓɗe Enndo
App for Italy	Jaaɓngal Itali
App for Italy	Jaaɓɗe Itali
App for Japan	Jaaɓngal Japan
App for Japan	Jaaɓɗe Japan
App for Macedonia	Jaaɓngal Maseduwaan
App for Macedonia	Jaaɓɗe Maseduwaan
App for Mexico	Jaaɓngal Meksiko
App for Mexico	Jaaɓɗe Meksiko
App for Montenegro	Jaaɓngal Montenegro
App for Montenegro	Jaaɓɗe Montenegro
App for Nicaragua	Jaaɓngal Nikaraguwa
App for Nicaragua	Jaaɓɗe Nikaraguwa
App for Panama	Jaaɓngal Panama
App for Panama	Jaaɓɗe Panama
App for Peru	Jaaɓngal Peru
App for Peru	Jaaɓɗe Peru
App for Poland	Jaaɓngal Polannda
App for Poland	Jaaɓɗe Polannda
App for Russia	Jaaɓngal Ruusiya
App for Russia	Jaaɓɗe Ruusiya
App for Serbia	Jaaɓngal Serbiya
App for Serbia	Jaaɓɗe Serbiya
App for South Africa	Jaaɓngal Afrik Bŋ Worgo
App for South Africa	Jaaɓɗe Afrik Bŋ Worgo
App for Spain	Jaaɓngal Espaañ
App for Spain	Jaaɓɗe Espaañ
App for Uruguay	Jaaɓngal Uruguwaay
App for Uruguay	Jaaɓɗe Uruguwaay
App for Venezuela	Jaaɓngal Wenesuwela
App for Venezuela	Jaaɓɗe Wenesuwela
App install error: {error}	Juumre aafgol jaaɓnga: {error}
App link resent to %(escapedPhoneNumber)s. <a %(escapedBackLinkAttrs)s>Mistyped&nbsp;number?</a>	Jokkol jaaɓnirgal nelditaama e %(escapedPhoneNumber)s. <a %(escapedBackLinkAttrs)s>Feewaani&nbsp;tonngol?</a>
App link sent to %(escapedPhoneNumber)s. <a %(escapedBackLinkAttrs)s>Mistyped&nbsp;number?</a>	Jokkol jaaɓnirgal neldaama to %(escapedPhoneNumber)s. <a %(escapedBackLinkAttrs)s>Feewaani&nbsp;tonngoode?</a>
App not yet reviewed	Jaaɓngal horndaaka tawo
App usage statistics	Limlimtooje kuutoragol jaaɓɗe
Appearance	Mbaydi
Appearance:	Mbaydi:
Apple	Apple
Application	Jaaɓnirgal
Application Basics	Beeɓtuɗe Jaaɓnirgal
Application Details…	Humpito Jaaɓnirgal…
Application Issues	Caɗeele Jaaɓnirgal
Application Panel	Ɗaldugal jaaɓnirgal
Application Panel	Ɗaldugal jaaɓnirɗe
Application Settings	Teelte Jaaɓnirɗe
Application details	Sifaaji kuutorgal
Application not found	Jaaɓnirgal yiytaaka
Application to share:	Jaaɓngal lollinteengal:
Applications	Jaaɓnirɗe
Apply and Restart	Teeŋtin pokkitaa
Applying update…	Nana jammina kesɗitinal…
Approve / Reject	Jaɓ / Salo
Approve Revision	Jaɓ Baylital
Approve Translation	Jaɓ Firo
Approved	Jaɓaaɗe
Approved {default_locale} version:	Yamre {default_locale} jaɓaande:
Approximate number of active (unexpired) shots	Limoore tolno natte caasɗe (ɗe mbuntaani)
Apps	Jaaɓnirɗe
Apps	Jaaɓɗe
Apr	Duujal
April	Seeɗto
Arabic	Aarabeere
Arabic	Arabic
Arabic (ISO)	Arabeere (ISO)
Arabic (Windows)	Arabic (Windows-1256)
Aragonese	Aragonese
Archive in { -pocket-brand-name }	Mooftu nder { -pocket-brand-name }
Archive this question	Mooftu ngal naamnal
Archived ping data	Ƴoɓol keɓe resanaama
Are you a developer, interested in Pontoon? There are plenty of ways to get your hands dirty.	Mbele ko a topotooɗo paafaaɗo Pontoon ? Ɗo juuɗe ina modda ŋakkaani.
Are you registered with Mozilla Support?	Aɗa winnditii e Wallitorde Mozilla?
Are you sure that you want to clear this permission for this site?	Aɗa yananaa yiɗde momtude ɗee jamirooje e ɗee lowe?
Are you sure you want to allow this download?	Aɗa yenanaa yiɗde yamirde ngol gaawtol?
Are you sure you want to clear your history?	Aɗa yenanaa yiɗde momtude aslol maa?
Are you sure you want to delete %1$s?	Aɗa yenanaa yiɗde momtude %1$s?
Are you sure you want to delete every instance of this page from your history?	Aɗa yananaa yiɗde momtude kala cilol ngoo hello e to aslol maa?
Are you sure you want to delete the {group} group avatar?	Aɗa yenanaa aɗa yiɗi momtude maantinol goomu {group}?
Are you sure you want to delete these certificates?	Aɗa yenanaa yiɗde momtude ɗee seedamfaaje?
Are you sure you want to delete these messages?	Aɗa yenanaa yiɗde momtude ɗee ɓatakuuje?
Are you sure you want to delete these people’s e-mail certificates?	Aɗa yenanaa yiɗde momtude seedamfaaje iimeel ɓee-ɗoo yimɓe?
Are you sure you want to delete these server exceptions?	Aɗa yenanaa yiɗde momtude ɗee paltooje sarworde?
Are you sure you want to delete this answer?	Aɗa yenanaa yiɗde momtude ngol jaabawol?
Are you sure you want to delete this credit card?	Aɗa yenanaa yiɗde momtude ngal kartal banke?
Are you sure you want to delete this document?	Aɗa yenanaa yiɗde momtude ndee fiilannde?
Are you sure you want to delete this folder?	Aɗa yenanaa yiɗde momtude ndee runngere?
Are you sure you want to delete this image?	Aɗa yenanaa yiɗde momtude ngal natal?
Are you sure you want to delete this login?	Aɗa yenanaa yiɗde momtude ndee seŋorde?
Are you sure you want to delete this message?	Aɗa yenanaa yiɗde momtude nɗee ɓatakuure?
Are you sure you want to delete this post?	Aɗa yenanaa yiɗde momtude ndee winn?
Are you sure you want to delete this question?	Aɗa yenanaa yiɗde momtude ngal naamnal?
Are you sure you want to delete this revision?	Aɗa yenanaa yiɗde momtude ngal baylital?
Are you sure you want to delete this security module?	Aɗa yenanaa yiɗde loowde momtude wulnde kisal?
Are you sure you want to delete this shot permanently?	Aɗa yananaa tiɗde momtude ngal nattal daañaa?
Are you sure you want to delete this thread?	Aɗa yenanaa yiɗde momtude ndee yeewtere?
Are you sure you want to delete this video?	Aɗa yenanaa yiɗde momtude oo widewoo?
Are you sure you want to delete your account? This action cannot be undone.	Aɗa yenanaa yiɗde momtude konte maa? Ngal baɗal firtotaako.
Are you sure you want to delete your avatar?	Aɗa yenanaa yiɗde momtude ndee maantinol maa?
Are you sure you want to disable all add-ons and restart?	Aɗa laaɓaa yiɗde daaƴde ɓeyditte fof etee kurmitinaa?
Are you sure you want to erase your device?	Aɗa yenanaa yiɗde momtude kaɓirgol maa?
Are you sure you want to open this file?	Aɗa yenanaa yiɗde udditde ndee fiilde?
Are you sure you want to quit $BrandFullName Setup?	Aɗa yenanaa yiɗde yaltude Aafgol $BrandFullName ngol?
Are you sure you want to quit $BrandFullName Uninstall?	Aɗa yenanaa yiɗde yaltude aaftugol $BrandFullName ngol?
Are you sure you want to remove {user} from the document contributors?	Aɗa yenanaa aɗa yiɗi momtude {user} e wellitooɓe fiilannde ndee?
Are you sure you want to remove {user} from {group} leaders?	Aɗa yenanaa aɗa yiɗi momtude {user} e ɗowooɓe {group}?
Are you sure you want to remove {user} from {group}?	Aɗa yenanaa aɗa yiɗi momtude {user} e {group}?
Are you sure you want to remove {user}?	Aɗa yenanaa aɗa yiɗi momtude {user}?
Are you sure you want to reset your PIN? You must sign in to Firefox Accounts to reset your PIN.	Aɗa yenanaa yiɗde firlitde kod PIN maa? Maa ceŋo-ɗaa e Firefox Accounts ndee pirlitaa kod PIN oo.
Are you sure you want to reset your PIN? You must sign in to Persona to reset your PIN.	Aɗa yenanaa yiɗde firlitde kod PIN maa? Maa ceŋo-ɗaa e Persona ndee pirlitaa kod PIN oo.
Are you sure you want to sign in to Sync?	Aɗa yenanaa yiɗde seŋaade ngam syncugol?
Are you sure you want to unsubscribe?	Aɗa yenanaa aɗa yiɗi momtude?
Are you sure you wish to remove all passwords?	Aɗa yenanaa yiɗde momtude finndeeji fof?
Are you sure you wish to remove this login?	Aɗa yenanaa yiɗde momtude ndee innde?
Are you sure you wish to show your passwords?	Aɗa yenanaa yiɗde hollirde finndeeji maa?
Are you sure?	Aɗa yenanaa?
Area	Boowal
Argentina	Arjentiina
Arguments	Bannanɗe
Armenia	Armeniya
Armenian	Armenian
Armenian	Armeniire
Armenian Western	Armeniire baŋnge hirnaange
Army of Awesome	Konu Yontaaɓe
Army of Awesome	Konu Yontaaɓe amen
Army of Awesome will never tweet without your permission.	Konu Yontaaɓe twittataa so wonaa e yaliroore maa.
Article	Winndannde
Article Discussions	Jeewte Binndanɗe
Article URL	URL Winndannde
Article Votes: % Helpful	Woote Bindanɗe: % Naftorii
Article contains	Ena e winndannde
Article is for:	Winndannde waɗiraa ko:
Articles	Binndanɗe
Articles that require changes.	Binndanɗe cokluɗe bayle.
Articles which have approved revisions newer than the latest ready-for-localization one	Binndanɗe jogiiɗe bayle jaɓaaɗe ɓurɗe hesɗude binndanɗe cakkitiiɗe kebiiɗe nokkuɗineede
Artificial intelligence	Ƴoyre tafaande
Arts & Entertainment App	Jaabɗe Ñeeñal e Fijundaaru
Arts & Entertainment App	Jaaɓngal Ñeeñal e Fijundaaru
Aruba	Aruba
As &laid out on the screen	Hono no &lelorii e yaynirde
As Authored	Hono Yamiraa
As First Child	Hono Cukalel Gadanel
As Last Child	Hono Cukalel Cakkitel
As You Like It	Hono no njiɗir-ɗaa ɗum nii
As a security precaution, { -brand-short-name } does not automatically re-request sensitive documents.	Ngam reentino kisal, { -brand-short-name } naamnittaako piilanɗe doondiiɗe caɗeele e jaajol.
As laid out on the screen	Hono no lelorii e yaynirde
As long as your phone remains on and connected to the Internet, you can see its location on the map.	Kala sahaa mo cinndel maa ena huɓɓi tee ena seŋii e Enternet, aɗa waawi yiyde nokkuure mayre e mappal ngal.
As soon as you are happy with your translation, you can save it by pressing Enter or clicking the save icon in the toolbar. To quit translation mode without saving changes, press Esc or click the cancel icon in the toolbar.	So a weltiima e firo maa hee tan, aɗa waawi ñoƴƴude e Naat walla ndobo-ɗaa e ikon Daɗndu nder palal kuutorɗe ngam daɗndude firo ngoo. Ngam yaltude ngonka firo kaa tawa a daɗndaani bayle ɗee, ñoƴƴu walla ndobo-ɗaa e ikon kaaytugol nder palal kuutorɗe.
Ashmore and Cartier Islands	Duuɗe Asmoore e Karceer
Ask A Question	Weddo Naamnal
Ask Later	Naamno goɗngol
Ask a New Question	Weddo Naamnal Kesal
Ask a Question	Weddo Naamnal
Ask a Question about Marketplace	Weddo Naamnal baɗte Marketplace
Ask a question	Weddo naamnal
Ask other contributors	Naamno wallitooɓe woɗɓe
Ask the Community	Naamno Renndo ngoo
Ask this	Naamno ɗum
Ask to Activate	Naamno ngam Hurminde
Ask to allow	Naamno yamirde
Ask to save	Naamno danndude
Ask to save logins and passwords for websites	Laaɓndo mbele a hisnat baccooje e pinle lowe
Ask to use this add-on each time	Naamndo ngam huutoraade ndee seŋre saha kala
Ask where to save files when downloading.	Naamno hol to ndanndataa piile saanga gaawtogol.
Ask you every time	Naamno mi e sahaa kala
Ask you every time	Naamno mo e sahaa kala
Ask your question to our community of users	Weddo naamnal maa e renndo huutorɓe amen
"Asked by <strong><a href=""{user_url}"">{username}</a></strong> {when}"	"Naamni ko  <strong><a href=""{user_url}"">{username}</a></strong>{when}"
Assamese	Aasameere
Assamese	Assamese
Associated Text:	Binndo Jahdingol:
Asterisk (*) incorrectly used in the %1$S section at line %2$S. If a line in the NETWORK section contains only a single asterisk character, then any URI not listed in the manifest will be treated as if the URI was listed in the NETWORK section. Otherwise such URIs will be treated as unavailable. Other uses of the * character are prohibited.	Asterisk huutoriraama no feewani nder taƴre %1$S to diidol %2$S. So diidol gonngol e taƴre LAYLAYTOL waɗi tan ko alkulal gootal bajjal asterisk, kala URI mo limtanooka nder taƴre LAYLAYTOL jaggirtee ko no URI limtanooɗo e taƴre LAYLAYTOL hee. Ammaa ɗuum, ɗiin URI kiisetee ko keɓaaki. Kuutoragol goɗngol alkulal * ina harminaa.
Asterisk (*) incorrectly used in the FALLBACK section at line %S. URIs in the FALLBACK section simply need to match a prefix of the request URI.	Asterisk huutoriraama no feewaani e taƴre FALLBACK to diidol %S. URI gonɗi e taƴre FALLBACK ina poti tan ardaade URI ɗaɓɓirɗo oo.
Asturian	Asturian
Asynchronous Pan/Zoom	Asynchronous Pan/Zoom
At Mozilla we respect and protect your personal information.	To Mozilla hamin kormii kadi hamin ndeena keɓe maa keeriiɗe.
At Mozilla, we respect and protect your personal information:	To Mozilla hamin kormii kadi hamin ndeena keɓe maa keeriiɗe:
At Mozilla, we’re a global community of technologists, thinkers and builders working together to keep the Internet alive and accessible, so people worldwide can be informed contributors and creators of the Web.	Ɗoo e Mozilla ko min harbiyaŋkooɓe huuɓnuɓe, miijiyaŋkooɓe e tafooɓe, gollidooɓe ngam Enternet laatoo wuurde e heɓaade, haa yimɓe winndere ndee kala mbaawa wontude tafooɓe e humpitiiɓe geɗe Geese.
At end of session	So naatal gasii
At least one number and one English letter are required in the password.	Alaa e sago waɗa hay so alkulal Engeleere gootal walla limoore wootere e finnde ndee.
Atom	Atom
Attachments	Ɗisanɗe
Attack Site	Lowre yanoore e
Attack Site	Lowre yanoore e
Attempt limit exceeded	Etaali ɓurtii ko yamiraa
Attempt to load a javascript: URL from one host\nin a window displaying content from another host\nwas blocked by the security manager.	Etagol loowde javascript: URL ummaade e koɗnol\ne henorde jaytinoore loowdi koɗnol goɗngol\ntoppitorde kisal faliima ɗum.
Attempt to set a forbidden header was denied: %S	Etannde suɓaade tiitoore haɗaande salaama: %S
Attempt to write encrypted data to underlying socket failed.	Enndugol binndugol keɓe ganaaɗe dow soket cakkiiɗo oo galli.
Attempting to create a Worker from an empty source. This is probably unintentional.	Etannde sosde golliitoowo iwde e sewnde ɓolde. Ɗum maataw teyaaka.
Attempting to identify this site…	Nana etoo heftinde ndee lowre…
Attempts to track your online behavior have been blocked.	Etaali rewindaade dille maa e geese palaama.
Attention needed	Hakkilantaagal ena Soklaa
Attribute value illegal in XSLT 1.0.	Njaru joopannde rewaani laawol nder XSLT 1.0.
Attribute value missing.	Njaru joopol ina ŋakki.
Attributes	Joopanɗe
Audio	Ojoo
Audio Backend	Yuurnorde Ojoo
Audio Files	Piille Ojoo
Audio Format	Mbayka Ojoo
Audio and video will play on Wi-Fi	Ojoo e widewoo maa taroy e WI-FI
Audio from the tab will be shared.	Ojoo e ndee tabbere maa lolline.
Aug	Juko
August	Juko
Australia	Ostaraliya
Austria	Otiriis
Authentication Required	Goongɗitinol ena Waɗɗii
Author	Winndi ko
Author:	Binnduɗo:
Authorities	Hohowɓe
Authority Information Access	Authority Information Access
Authorization code required	Kod jamirgol ena waɗɗii
Authorize this sign-in	Yamir ngol ceŋagol
Authors	Winnduɓe
Auto	Jaajo
Auto Prettify Minified Sources	Cewɗe tokosinaaɗe ŋarɗin koye mum en
Auto-Detect	Ejto e jaajol
Auto-Hide in Toolbar	Suuɗ hoore mum e palal kuutorɗe
Auto-close after one month?	Uddu e jaajol caggal lewru?
Auto-close open tabs	Uddu tabbe udditiiɗe e jaajol
Auto-detect proxy settings for this network	Ejto teelte proxy ngol laylaytol e jaajol
AutoConfig Alert	Jeertino AutoConfig
Autoclose brackets	Uddugol jowirɗi binndi
Autocomplete CSS	CSS Jokkit hoore mum
Autocomplete CSS properties, values and selectors in Style Editor as you type	Binndugol hoore mum feccere CSS, kiise kam e cuɓorɗe Taƴtorde Panni tawa aɗa tappa
Autocomplete URLs	Timmin binndi URL e jaajol
Autofill	Humpit e jaajol
Autofill addresses	Ñiiɓirɗe humpito yaawngo
Autofill credit cards	Humpito yaawngo karte banke
Autofill in %1$s	Humpit e jaajol e %1$s
Autofill in other apps	Humpit e jaajol e jaaɓɗe goɗɗe
Autofills %S	Ena humpita hoore mum %S
Automatic Updates	Kesɗitine Jaajol
Automatic Zoom	Loongorde Jaajol
Automatic font sizing	Darnde alkule jaajre
Automatic privacy browser and content blocker	Wanngorde suturo ɗoon e ɗoon etee daaƴoore loowdi
Automatic proxy configuration URL	URL teeltal otomatik poroksi
Automatic proxy configuration URL:	URL teeltannde proxy jaajol:
Automatic updates	Kesɗitine jaajol
Automatically Play Media with Sound	Taro jaajol loowdi wondude e hito
Automatically Update	Yesɗitin e jaajol:
Automatically add	Ɓeydu e jaajol
"Automatically deletes browsing data when you select ""Quit"" from the main menu"	"Ina momta keɓe banngogol ɗoon e ɗoon  so a suɓiima ""Uddu"" e dosol dowrowol ngol"
"Automatically deletes browsing data when you select \""Quit\"" from the main menu"	"Ina momta keɓe banngogol ɗoon e ɗoon  so a suɓiima \""Uddu\"" e dosol dowrowol ngol"
Automatically insert closing brackets	Naatnu guddugol jowirɗi binndi
Automatically install updates	Aaf kesɗitine e jaajol
Automatically install updates (recommended)	Aafde kesɗitinee jaajol (ina wasiyaa)
Automatically install updates (recommended: improved security)	Aaf kesɗitine e jaajol (ena wasiyaa: kisal ƴellitaama)
Automatically install updates only if that’s the default	Aaf kesɗitine e jaajol so wonaa tawa ko ɗum goowaɗum
Automatically scanned today	Niiwtaama ɗoon e ɗoon hannde
Automatically update search engines	Hesɗitin jiylorɗe e jaajol
Automatically update search engines	Kesɗitingol ajaaja jiylorɗe
Autoplay is only allowed when approved by the user, the site is activated by the user, or media is muted.	Tarol jaajol yamiraa tan ko nde kuutoro oo jaɓi ɗum, nde kuutoro oo hurmini lowre ndee walla nde mejaare ndee ñifaa.
Autorefresh every 3 seconds	Wultin hoore mum kala maje 3
Available Add-ons	Ɓeyditte Goodaaɗe
Available Commands:	Gine goodɗe
Available Languages	Ɗemɗe goodɗe
Available Locales	Nokkuuje Keɓotooɗe
Available Options	Cuɓe Goodaaɗe
Available Profiles	Keftinirɗe Goodaaɗe
Available Toolbox Buttons	Butoŋaaji boyet kuutorɗe ina ngoodi
Available Updates	Kesɗitine Goodaaɗe
Available languages	Ɗemɗe keɓiiɗe
Available offline	Ena heɓoo e ceŋtol
Available remote add-ons:	Ɓeyditte goɗɗuɗe ina ngoodi
Available remote processes:	rewindo woodngo woɗɗungo
Available remote tabs:	Tabbe goɗɗuɗe ina ngoodi:
Avaric	Awaric
Avatar	Jimmirde
Avatar	Maantinol
Avatar uploaded	Jimmirde yollaama
Avatar:	Maantinol:
Average	Ina hakindii
Average Satisfaction	Weltaare hakindiinde
Avestan	Awestan
Avg. Time (ms)	Avg. Time (ms)
Avg. bitrate	Avg. bitrate
Avg. framerate	Avg. framerate
Avoid breaking user interface by seeing how much space is available for your translations, which is especially useful with apps.	Reento bonnude tammborgal kuutoro ngal ɗoon ɗo aɗa yiya boowal goodanngal firooji maa, huunde heewnde faayiida wonande jaaɓɗe ɗee.
Award details	Silloor njeenaari
Awarded badge: %(badge_name)s	Ɗakkannde yeenaande; %(badge_name)s
Awarded by:	Totti njeenaari ndii ko:
Awarded to:	Yeenaa ko:
Awards	Njeenaari
Awesome Bar	Palal Awesome Bar
Aymara	Aymara
Azerbaijan	Ajerbayjaan
Azerbaijani	Ajerbayjaani
Azerbaijani	Ajerbayjaneere
Azerbaijani	Azerbaijani
B&rowse…	&Weɗɗit…
B2G OS	B2G OS
BLOCKED	BLOCKED
Back	Caggal
Back	Ruttaade
Back	Rutto
Back facing camera	Kameraa caggal
Back to &formatS;	Rutto to &formatS;
Back to History	Rutto to Aslol
Back to Mozilla Privacy Policy	Caggal to Sarɗiyeeji Keeriiɗi Mozilla
Back to Mozilla Privacy Policy	Rutto to Sarɗiyeeji Keeriiɗi Mozilla
Back to Preferences	Rutto e Cuɓoraaɗe
Back to Top	Rutto Dow
Back to app	Rutto to jaaɓngal
Back to browsing	Rutto to banngagol
Back to full History	Rutto to Aslol Kuuɓal
Back to home page	Rutto to jaɓɓorgo
Back to {app}	Rutto to {app}
Back up your passwords	Danndu pinle maa
Back-off time	Waktu gartol
Background	Cakkital
Background:	Cakkital:
Backspace	Backspace
Backup All…	Danndit Fof…
Backup…	Dannditol…
Backup…	Danndito…
Bad Request	Ɗaɓɓitannde Moƴƴaa
Bad Request	Ɗaɓɓitannde moƴƴaani
Bad character after “<”. Probable cause: Unescaped “<”. Try escaping it as “&lt;”.	Alkulal ngal moƴƴaani caggal “<”. Sabaabu baawɗo wonde : baasgol eskapde “<”. Eto eskapde to “&lt;”.
Bad configuration	Teeltannde feewaani
Bad information access location in cert extension	Nokku keɓgol kabaruuji mo moƴƴaani nder jokkel cert
Bad start tag “%1$S” in “head”.	Tagere “%1$S” fuɗɗorde nde moƴaani nder “hoore”.
Badge: %(badge_name)s	Ɗakkannde: %(badge_name)s
Badges	Ɗakkanɗe
Bahamas, The	Bahamas
Bahrain	Bahrain
Baker Island	Duunde Baker
Balanced memory usage	Kuutorogol teskorde ɓurondirngol
Baltic	Baltiire
Baltic (ISO)	Baltinkoore (ISO)
Baltic (Windows)	Baltic (Windows)
Bambara	Bambara
Bambara	Bammbara
Ban	Riiw
Ban User	Riiw kuutoro
Bangladesh	Bangladees
Banking	Bankayru
Banned Users	Huutorɓe riiwaaɓe
Barbados	Barbados
Basaa	Basaa
Base Size	Ɓetal adan
Baseline	Diidol diiñorde
Bashkir	Bashkiir
Bashkirs	Bashkirs
Basic Page Style	Pannol Hello Jaddol
Basque	Baskere
Basque	Basque
Bassas da India	Basa mo Enndo
Battery	Batiri
Be among the first to explore future releases of Firefox for desktop, Android and iOS.	Jeye e aɗiiɓe yiylaade jaltine Firefox garooje ngam ordinateer, Android e iOS.
Be among the first to explore future releases of { -brand-name-firefox } for desktop, { -brand-name-android } and { -brand-name-ios }.	Jeye e aɗiiɓe yiylaade jaltine { -brand-name-firefox } garooje ngam ordinateer, { -brand-name-android } e { -brand-name-ios }.
Be the first to know when Firefox is available for iOS devices.	Jeye a adotooɓe tinde nde Firefox mo iOS yaltata.
Because this is a Facebook-owned site, it cannot be removed from Facebook Container.	Sabu ndee lowre ko Facebook jeyi nde, ndeɓcb waawaa itteede e Facebook Container.
Become a partner	Won gollidiiɗo
Become a volunteer contributor in a number of different areas.	Yantu e yarlitiiɓe wallitooɓe e fannuuji keewɗi ceertuɗi.
Before	Hade
Before	Ko adii
Before reporting the extension, you can try changing your settings:	Hade maa jaŋtaade timmitere ndee, aɗa waawi etaade waylude teelte maa;
Before trusting this CA for any purpose, you should examine its certificate and its policy and procedures (if available).	Hade maa hoolaade oo CA e fannu kala, aɗa foti ƴeewtaade seedamfaagu makko e dawirgol makko e laabi makko (so ena woodi).
Before we update your email, you must confirm it. Please click the link below or copy and paste the whole thing into your browser's location bar:	Hade min hesɗitinde iimeel maa, alaa e sago teeŋtinaa-mo. Tiiɗno dobo e jokkol les ngol walla natto ɗakkaa jokkol ngol fof e palal ñiiɓirɗe wanngorde maa:
Before you can log in, you need to confirm your email address. We've sent a new confirmation email to any account using <strong>%(email)s</strong>. To confirm the email address, just follow the link in the email.	Hade maa waade seŋaade, aɗa foti teeŋtinde ñiiɓirde maa iimeel. Min neldii iimeel teeŋtinol keso to konte maa huutoraade <strong>%(email)s</strong>. Ngam teeŋtinde ñiiɓirde iimeel ndee, rewindo jokkol gonngol e iimeel oo tan.
Before you can log in, you need to confirm your email address. We've sent you an email with a confirmation link in it. Just click the link and you'll be ready to go!	Hade maa waawde seŋaade, aɗa sokli teeŋtinde ñiiɓirde maa iimeel. Min neldii-ma iimeel ena wonndi e jokkol teeŋtinol. Dobo tan e jokkol ngol kisa maa waaw haŋkadi fuɗɗaade!
Before you connect to Twitter, you must sign in to Mozilla Support.	Hade maa seŋaade e Twitter, alaa e sago ceŋoro-ɗaa to tammbol Mozilla.
Before you join, you need to give Army of Awesome the permission to post tweets on your behalf.	Hade maa naatde, maa ndokkaa Konu Yontaaɓe yamiroore yoo postu twittel e innde maa.
Begin reset	Fuɗɗo pirlitol
Beginning FTP transaction…	Nana fuɗɗoo coodondiral FTP…
Beginning payment	Nana fuɗɗoo joɓngol
Begins On	Fuɗɗotoo ko Ñalnde
Begins On:	Ina fuɗɗoo ñande:
Begins On: %1$S	Fuɗɗoo Ñalnde: %1$S
Belarus	Belaruus
Belarusian	Belarusian
Belarusian	Belarusiire
Belgium	Belsik
Belize	Beliise
Benefits	Ɓure
Bengali	Bengali
Bengali	Benngali
Bengali (Bangladesh)	Benngali (Banngaladees)
Bengali (India)	Benngali (Enndo)
Benin	Benee
Berlin	Berlin
Bermuda	Bermudaa
Best Match	Jaaɓol Mowrowol
Best Practices	Golle Ɓurɗe
Best match	Jaaɓol dowrowol
Best,	Buri fof,
Beta	Beta
Beta News	Kabaruuju Betaa
Beta, Nightly, Developer Edition	Betaa, Nightly Developer Edition
Better bookmarks	Maantore ɓurorɗe
Better, faster page loading that uses less computer memory.	Loowgol hello ɓurngol moƴƴude e ɓurngol yaawde kuutortoongol seeɗa teskorde.
Bhutan	Bhutaan
Bihari	Bihari
Billing Address	Ñiiɓirde yoɓirde
Bio	Baɗte maa
Biography	Ciimtol golluuje am
BiquadFilterNode channel count changes may produce audio glitches.	Limoore Calol BiquadFilterNode ena waawi jibinde ciike ojoo.
Bislama	Bislama
Blackberry	Blackberry
Blackbox source	Sewnde boyet ɓaleejo
Blackboxed source	Sewnde waɗaande e boyet ɓaleejo
Blank Page	Hello Meho
Block	Falo
Block Autoplay	Faddo janngol ɗoon e ɗoon
Block Images from %S	Falo Nate immiiɗe e %S
Block Images from { $website }	Falo Nate immiiɗe e { $website }
Block List	Doggol Daaƴol
Block Lists	Doggi Daaƴol
Block Plugin	Falo Seŋre
Block access to the Add-ons Manager (about:addons).	Faddo tammbol gulle timminooje (ko faati e:addons)
Block access to the about:config page.	Faddo about:config hello
Block access to the about:profiles page.	Faddo about:profiles hello
Block access to the about:support page.	Faddo about:support hello.
Block access to the developer tools.	Haɗ jettagol kuutorɗe topotooɓe.
Block ad trackers	Falo ndewindorɗe ɓaŋŋine
Block ad trackers across more devices	Daaƴ rewindotooɓe ɓaŋŋine e masiŋon keewkon
Block all known trackers. (May prevent some pages from loading.)	Faddo dewindiiɗe ganndaaɗe ɗee kala. (Ngam haɗde loowgol won ɗeen kelle.)
Block all third-party cookies or just those set by trackers.	Faddo kuukiiji goɗɗi ɗii kala walla ɗi dewindiiɗi ɗii toɗɗii ɗii.
Block audio and video	Daaƴ ojoo e widewoo
Block audio and video on cellular data only	Daaƴ ojoo e widewoo e keɓe cinndel tan
Block audio only	Daaƴ ojoo tan
Block cookies and site data	Faddo kuukiiji e loowdi lowre ndee
Block cookies and site data (may cause websites to break)	Daaƴ kuukiije kam e keɓe lowre (ina waawi taƴde lowe geese)
Block dangerous and deceptive content	Falo loowdi mbonndi e puuntoori
Block dangerous and deceptive content	Falo loowi mbonndi e puuntoori
Block dangerous downloads	Falo gaawte bonnooje
Block images	Daaƴ nate
Block just the trackers that keep pages from loading quickly.	Faddo tan dewinde kaɗooje loowgol jaawngol kelle.
Block new requests asking to access your camera	Daaƴ ɗaɓɓitte kese naamnotooɗe heɓde kameraa maa
Block new requests asking to access your location	Daaƴ ɗaɓɓitanɗe kese naamnotooɗe yettaade nokku maa
Block new requests asking to access your microphone	Daaƴ ɗaɓɓitte kese naamnotooɗe yettaade mikoroo maa
Block new requests asking to allow notifications	Daaƴ ɗaɓɓitanɗe kese naamnotooɗe yamirde tintine
